         4250359 function calls (3961221 primitive calls) in 47.377 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      833    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:102(release)
      445    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:142(__init__)
      445    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap>:146(__enter__)
      445    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:153(__exit__)
      833    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap>:159(_get_module_lock)
      444    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(cb)
      388    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:178(_lock_unlock_module)
   654/40    0.001    0.000    0.925    0.023 <frozen importlib._bootstrap>:197(_call_with_frames_removed)
     3941    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:208(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:218(_requires_builtin_wrapper)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:255(_module_repr)
      427    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:293(__init__)
      427    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:297(__enter__)
      427    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap>:304(__exit__)
     1708    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:307(<genexpr>)
      385    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      455    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:355(__init__)
      803    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:389(cached)
    15771    0.039    0.000    0.061    0.000 <frozen importlib._bootstrap>:402(parent)
      436    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:410(has_location)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(spec_from_loader)
      427    0.005    0.000    0.023    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
  427/425    0.002    0.000    0.115    0.000 <frozen importlib._bootstrap>:553(module_from_spec)
      444    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:57(__init__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:570(_module_repr_from_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:612(_load_backward_compatible)
   429/39    0.006    0.000    0.916    0.023 <frozen importlib._bootstrap>:641(_load_unlocked)
      439    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:698(find_spec)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:719(create_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:727(exec_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:744(is_package)
      833    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:77(acquire)
      434    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:771(find_spec)
     1321    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:834(__enter__)
     1321    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:838(__exit__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:843(_resolve_name)
